name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,1,0,0,0,1.2211e+07,2.96065e+06,7.42522e+06,2.81894e+07
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,1,0,0,0,2.01783e+07,343360,1.97904e+07,2.16351e+07
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,2,0,0,0,1.33794e+07,1.01297e+06,7.23412e+06,1.48603e+07
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,2,0,0,0,2.70578e+07,844845,2.01546e+07,3.02889e+07
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,4,0,0,0,7.95116e+06,341835,6.77283e+06,8.65945e+06
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,4,0,0,0,1.2901e+07,3.52555e+06,8.16192e+06,1.71514e+07
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,8,0,0,0,2.5943e+06,155481,2.41303e+06,4.40517e+06
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,8,0,0,0,4.78901e+06,180376,4.37798e+06,5.4738e+06
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,16,0,0,0,1.5652e+06,86358.5,1.3953e+06,2.5521e+06
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,16,0,0,0,2.71937e+06,113252,2.49034e+06,3.54563e+06
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,32,0,0,0,1.39679e+06,70921.7,1.26464e+06,2.11607e+06
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,32,0,0,0,2.07298e+06,101644,1.91874e+06,2.60289e+06
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,48,0,0,0,1.63734e+06,39278,1.43256e+06,2.05922e+06
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,48,0,0,0,2.42504e+06,108195,2.17967e+06,3.16617e+06
"Xorec (AVX512)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,60,0,0,0,1.66792e+06,49100.8,1.49429e+06,2.32794e+06
"ISA-L (MDS)/iterations:1",,500,134217728,65536,"FEC(32,8)",0,60,0,0,0,2.46914e+06,77471.4,2.09797e+06,2.69982e+06
