name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,1,0,0,0,2.51024e+07,3.01324e+06,2.27758e+07,2.92334e+07
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,1,0,0,0,2.82443e+07,1.23545e+06,2.7303e+07,3.02446e+07
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,2,0,0,0,1.16193e+07,743824,1.09822e+07,1.28881e+07
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,2,0,0,0,1.52754e+07,210567,1.50502e+07,1.55661e+07
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,4,0,0,0,6.01902e+06,201859,5.72508e+06,6.21692e+06
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,4,0,0,0,7.79078e+06,66737.8,7.71562e+06,7.86612e+06
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,8,0,0,0,3.05851e+06,176627,2.95629e+06,3.37113e+06
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,8,0,0,0,4.94967e+06,2.09383e+06,3.97599e+06,8.69503e+06
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,16,0,0,0,1.78981e+06,195753,1.65111e+06,2.13175e+06
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,16,0,0,0,2.14105e+06,44283,2.09051e+06,2.20228e+06
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,32,0,0,0,1.41231e+06,235679,1.27856e+06,1.83134e+06
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,32,0,0,0,1.50585e+06,71803,1.44965e+06,1.60328e+06
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,48,0,0,0,1.43372e+06,250378,1.28091e+06,1.87951e+06
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,48,0,0,0,1.46792e+06,40281.5,1.41802e+06,1.51238e+06
"Xorec (AVX512)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,60,0,0,0,1.49601e+06,170976,1.37434e+06,1.79798e+06
"ISA-L (MDS)/iterations:1",,5,134217728,65536,"FEC(32,8)",0,60,0,0,0,1.62396e+06,81822.9,1.5308e+06,1.6982e+06
