name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"Xorec/iterations:1",,500,134217728,4096,"FEC(2,1)",0,1,0,0,0,2.49055e+07,31068.4,2.48431e+07,2.49849e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(2,1)",0,1,0,0,0,2.49362e+07,17289.6,2.48925e+07,2.49926e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(2,1)",0,1,0,0,0,2.45366e+07,27416.3,2.44644e+07,2.46869e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(4,2)",0,1,0,0,0,2.50428e+07,17177.4,2.49926e+07,2.50884e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(4,2)",0,1,0,0,0,4.29012e+07,34849.9,4.2818e+07,4.29838e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(4,2)",0,1,0,0,0,2.90148e+07,34670,2.89271e+07,2.91226e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(8,4)",0,1,0,0,0,2.51332e+07,19531.8,2.50835e+07,2.51847e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(8,4)",0,1,0,0,0,4.5149e+07,49307.4,4.5039e+07,4.52664e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(8,4)",0,1,0,0,0,3.81936e+07,182912,3.79199e+07,3.85108e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(16,4)",0,1,0,0,0,1.74566e+07,19594.3,1.74109e+07,1.75209e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(16,4)",0,1,0,0,0,3.14953e+07,54262.6,3.13892e+07,3.16119e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(16,4)",0,1,0,0,0,3.19333e+07,268879,3.15022e+07,3.24177e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(16,8)",0,1,0,0,0,2.54514e+07,40272.2,2.53745e+07,2.55414e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(16,8)",0,1,0,0,0,4.80576e+07,75767.8,4.78904e+07,4.82051e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(16,8)",0,1,0,0,0,5.51404e+07,135158,5.49076e+07,5.59419e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,4)",0,1,0,0,0,1.08864e+07,158100,1.0775e+07,1.42627e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,4)",0,1,0,0,0,2.45703e+07,61400.5,2.4445e+07,2.47096e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,4)",0,1,0,0,0,2.484e+07,356704,2.42867e+07,2.84199e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,8)",0,1,0,0,0,1.83517e+07,43383,1.82605e+07,1.84394e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,1,0,0,0,3.39301e+07,59378.4,3.38059e+07,3.40675e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,1,0,0,0,4.92509e+07,2.41834e+06,4.88762e+07,1.03127e+08
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,8)",0,2,0,0,0,1.65958e+07,95247.3,1.59554e+07,1.67819e+07
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,2,0,0,0,2.94873e+07,143837,2.85869e+07,2.96982e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,2,0,0,0,3.99392e+07,533308,3.87971e+07,4.15487e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,8)",0,4,0,0,0,8.8507e+06,45430.8,8.52274e+06,8.95571e+06
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,4,0,0,0,1.53251e+07,55530.5,1.49843e+07,1.54837e+07
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,4,0,0,0,2.05199e+07,253632,1.98294e+07,2.11338e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,8)",0,8,0,0,0,5.04886e+06,73590.5,4.67925e+06,5.23339e+06
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,8,0,0,0,8.47455e+06,39883.3,8.17659e+06,8.55028e+06
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,8,0,0,0,1.07409e+07,126145,1.03114e+07,1.09925e+07
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,8)",0,16,0,0,0,3.53988e+06,174804,3.02294e+06,3.86711e+06
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,16,0,0,0,5.45149e+06,44865.4,5.13493e+06,5.56198e+06
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,16,0,0,0,6.05067e+06,79935.7,5.71837e+06,6.2901e+06
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,8)",0,32,0,0,0,3.60232e+06,104237,2.99327e+06,3.83144e+06
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,32,0,0,0,4.61767e+06,40501.4,4.2252e+06,4.75205e+06
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,32,0,0,0,3.66907e+06,61273,3.34685e+06,3.82222e+06
"Xorec/iterations:1",,500,134217728,8192,"FEC(2,1)",0,1,0,0,0,2.49043e+07,42683.1,2.47904e+07,2.49878e+07
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(2,1)",0,1,0,0,0,2.48546e+07,44174.5,2.477e+07,2.50273e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(2,1)",0,1,0,0,0,2.42319e+07,43535.2,2.41474e+07,2.43624e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(4,2)",0,1,0,0,0,2.50087e+07,33991.6,2.49375e+07,2.50838e+07
