plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC, AVX2/iterations:100/real_time",,100,134217728,1048576,1,0.03125,128,4,4.36519e+08,1.7533e+07,70700.6,61.2413,0.245681,4.31222e+06,21860.6,249,1.2657
0,"XOR-EC, AVX2/iterations:100/real_time",,100,67108864,524288,1,0.03125,128,4,2.16648e+08,8.29298e+06,19679.9,64.738,0.153644,1.61086e+06,15669.7,333.282,3.15378
0,"XOR-EC, AVX2/iterations:100/real_time",,100,33554432,262144,1,0.03125,128,4,1.06905e+08,3.69566e+06,11823.4,72.6353,0.232067,642797,8624.77,417.605,5.59553
0,"XOR-EC, AVX2/iterations:100/real_time",,100,16777216,131072,1,0.03125,128,4,5.00035e+07,993009,15308.4,135.163,1.86503,202896,4715.32,661.509,14.4408
0,"XOR-EC, AVX2/iterations:100/real_time",,100,8388608,65536,1,0.03125,128,4,2.48966e+07,425672,5180.3,157.654,1.92107,101457,2157.24,661.451,13.344
0,"XOR-EC, AVX2/iterations:100/real_time",,100,4194304,32768,1,0.03125,128,4,1.2432e+07,201862,3152.25,166.224,2.60506,51453.4,933.595,652.133,11.5968
0,"XOR-EC, AVX2/iterations:100/real_time",,100,2097152,16384,1,0.03125,128,4,6.20735e+06,103322,1713.23,162.379,2.69061,21988.6,637.124,762.995,19.6436
0,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.03125,128,4,3.09018e+06,43038.2,1108.58,194.911,4.92309,7980.2,59.8954,1051.18,7.80642
0,"XOR-EC, AVX2/iterations:100/real_time",,100,524288,4096,1,0.03125,128,4,1.54471e+06,22808.3,4441.33,183.894,53.4829,3867.03,116.42,1084.63,26.1262
0,"XOR-EC, AVX2/iterations:100/real_time",,100,262144,2048,1,0.03125,128,4,772223,7087.32,1035.82,295.902,19.523,2166.77,169.77,967.87,43.2811
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,1,128,128,3.20192e+06,123008,1117.08,68.1958,0.61235,746.65,24.1324,11235,335.144
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.5,128,64,3.1485e+06,90284.1,994.825,92.9134,1.00117,422.67,13.7342,19846.7,604.709
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.25,128,32,3.10965e+06,61264.6,649.358,136.924,1.43414,1404.56,29.1063,5972.41,117.399
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.125,128,16,3.09244e+06,49347.4,1105.83,169.991,3.68508,2309.49,23.0504,3632.23,35.9111
