name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev
"Xorec/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.53892e+07,71810.8
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.16719e+08,863911
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.54163e+07,16830
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.73868e+07,26160.9
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.49448e+07,10171.4
"Xorec/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,2.55189e+07,19085.7
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,1.65413e+08,360148
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,4.36272e+07,18683.5
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,2.66951e+07,11669.4
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,3.00119e+07,9990.93
"Xorec/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,2.56122e+07,14674.4
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,1.62889e+08,329821
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,4.68308e+07,14513.4
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,2.95571e+07,48281
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,4.1676e+07,97034.7
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,1.85601e+07,13162.4
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,1.4854e+08,333524
