name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.17023e+08,747757
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.5419e+07,17949.3
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.7328e+07,15167.2
"Xorec/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.53919e+07,17590.5
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.4904e+07,13036.4
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,1.64479e+08,454979
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,4.37277e+07,20215.7
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,2.65953e+07,18888.7
"Xorec/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,2.55033e+07,8794.15
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,3.00421e+07,22175.4
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,1.62562e+08,314846
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,4.68433e+07,23716.9
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,2.95294e+07,66465
"Xorec/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,2.55664e+07,22036.5
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,4.19153e+07,266623
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,1.48478e+08,608883
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,3.32665e+07,25275.1
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,2.27186e+07,25108
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,1.8601e+07,20138.3
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,3.46238e+07,100926
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,1.60618e+08,709643
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,5.03463e+07,201310
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,4.11686e+07,47543.5
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,2.59544e+07,13132.3
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,6.29432e+07,104750
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,0,0,0,1.23089e+08,504248
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,0,0,0,3.64027e+07,18179.4
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,0,0,0,4.55215e+07,1.10472e+06
"Xorec/iterations:1",,10,134217728,4096,"FEC(32,8)",0,0,0,0,1.93152e+07,36708.5
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,0,0,0,5.62618e+07,114633
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(32,4)",0,0,0,0,1.18211e+08,312173
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(32,4)",0,0,0,0,2.63084e+07,13654.1
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(32,4)",0,0,0,0,6.20685e+07,2.38862e+06
"Xorec/iterations:1",,10,134217728,4096,"FEC(32,4)",0,0,0,0,1.21144e+07,901637
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(32,4)",0,0,0,0,2.78233e+07,488912
"Wirehair (MDS)/iterations:1",,10,134217728,8192,"FEC(2,1)",0,0,0,0,2.20528e+08,1.37925e+06
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(2,1)",0,0,0,0,2.53365e+07,16227
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(2,1)",0,0,0,0,2.63729e+07,15426.5
"Xorec/iterations:1",,10,134217728,8192,"FEC(2,1)",0,0,0,0,2.54288e+07,10733.5
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(2,1)",0,0,0,0,2.43346e+07,13211.4
"Wirehair (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,0,0,0,1.63702e+08,304637
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,0,0,0,4.46853e+07,13924.8
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,0,0,0,2.61578e+07,36377.2
"Xorec/iterations:1",,10,134217728,8192,"FEC(4,2)",0,0,0,0,2.5507e+07,10108.4
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,0,0,0,3.04904e+07,107893
"Wirehair (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,0,0,0,1.61674e+08,604339
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,0,0,0,4.77444e+07,20320.7
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,0,0,0,2.92938e+07,54225.8
"Xorec/iterations:1",,10,134217728,8192,"FEC(8,4)",0,0,0,0,2.76325e+07,8085.91
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,0,0,0,4.09412e+07,289318
"Wirehair (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,0,0,0,1.46359e+08,861502
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,0,0,0,3.35001e+07,15469.3
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,0,0,0,2.28101e+07,29067
"Xorec/iterations:1",,10,134217728,8192,"FEC(16,4)",0,0,0,0,1.99592e+07,13133
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,0,0,0,3.47522e+07,79552.8
"Wirehair (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,0,0,0,1.57635e+08,387619
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,0,0,0,5.20094e+07,15833.8
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,0,0,0,4.12399e+07,52289.9
"Xorec/iterations:1",,10,134217728,8192,"FEC(16,8)",0,0,0,0,2.7497e+07,13412.2
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,0,0,0,6.26992e+07,47415.2
"Wirehair (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,0,0,0,1.21284e+08,463734
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,0,0,0,3.71047e+07,17699.7
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,0,0,0,5.22661e+07,1.15158e+06
"Xorec/iterations:1",,10,134217728,8192,"FEC(32,8)",0,0,0,0,1.99021e+07,17242.8
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,0,0,0,5.61605e+07,14387.7
"Wirehair (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,0,0,0,1.16304e+08,213399
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,0,0,0,2.61291e+07,15351.9
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,0,0,0,6.43318e+07,2.33443e+06
"Xorec/iterations:1",,10,134217728,8192,"FEC(32,4)",0,0,0,0,1.40419e+07,653852
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,0,0,0,2.78788e+07,54238.8
"Wirehair (MDS)/iterations:1",,10,134217728,16384,"FEC(2,1)",0,0,0,0,2.21516e+08,329846
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(2,1)",0,0,0,0,2.54104e+07,11158.1
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(2,1)",0,0,0,0,2.61908e+07,19007.6
"Xorec/iterations:1",,10,134217728,16384,"FEC(2,1)",0,0,0,0,2.54184e+07,11844.3
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(2,1)",0,0,0,0,2.4227e+07,9538.45
"Wirehair (MDS)/iterations:1",,10,134217728,16384,"FEC(4,2)",0,0,0,0,1.65782e+08,518883
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(4,2)",0,0,0,0,4.54541e+07,28795.4
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(4,2)",0,0,0,0,2.60411e+07,26190.3
"Xorec/iterations:1",,10,134217728,16384,"FEC(4,2)",0,0,0,0,2.75378e+07,16267.3
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(4,2)",0,0,0,0,3.02607e+07,85757.3
"Wirehair (MDS)/iterations:1",,10,134217728,16384,"FEC(8,4)",0,0,0,0,1.63707e+08,299213
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(8,4)",0,0,0,0,4.69962e+07,15971.8
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(8,4)",0,0,0,0,2.92199e+07,35100.4
"Xorec/iterations:1",,10,134217728,16384,"FEC(8,4)",0,0,0,0,2.73679e+07,15632.9
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(8,4)",0,0,0,0,4.09131e+07,34934.7
"Wirehair (MDS)/iterations:1",,10,134217728,16384,"FEC(16,4)",0,0,0,0,1.52227e+08,432633
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(16,4)",0,0,0,0,3.29358e+07,29794.2
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(16,4)",0,0,0,0,2.29749e+07,47108
"Xorec/iterations:1",,10,134217728,16384,"FEC(16,4)",0,0,0,0,1.98571e+07,9216.63
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(16,4)",0,0,0,0,3.41613e+07,26508.5
"Wirehair (MDS)/iterations:1",,10,134217728,16384,"FEC(16,8)",0,0,0,0,1.63911e+08,620156
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(16,8)",0,0,0,0,5.20161e+07,92375.4
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(16,8)",0,0,0,0,4.21446e+07,187953
"Xorec/iterations:1",,10,134217728,16384,"FEC(16,8)",0,0,0,0,2.73514e+07,10529.4
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(16,8)",0,0,0,0,6.19638e+07,51658.9
"Wirehair (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,0,0,0,1.38513e+08,101689
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,0,0,0,3.68416e+07,17308.6
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,0,0,0,1.01099e+08,95259.3
"Xorec/iterations:1",,10,134217728,16384,"FEC(32,8)",0,0,0,0,1.97644e+07,12040.5
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,0,0,0,5.82811e+07,32213.8
"Wirehair (MDS)/iterations:1",,10,134217728,16384,"FEC(32,4)",0,0,0,0,1.3301e+08,192534
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(32,4)",0,0,0,0,2.54858e+07,43525.6
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(32,4)",0,0,0,0,6.61039e+07,2.44918e+06
"Xorec/iterations:1",,10,134217728,16384,"FEC(32,4)",0,0,0,0,1.38701e+07,665977
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(32,4)",0,0,0,0,3.02861e+07,47584.6
"Wirehair (MDS)/iterations:1",,10,134217728,32768,"FEC(2,1)",0,0,0,0,2.33591e+08,77554
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(2,1)",0,0,0,0,2.75442e+07,18974.3
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(2,1)",0,0,0,0,2.62877e+07,14257.8
"Xorec/iterations:1",,10,134217728,32768,"FEC(2,1)",0,0,0,0,2.75195e+07,14100.4
