name,err_msg,iterations,warmup_iterations,gpu_computation,gpu_blocks,threads_per_block,data_size_B,block_size_B,EC,lost_blocks,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(36/32)",0,2871.5,185.189,365.793,9.76311,83.156,4.02692,12629.6,424.857
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(36/32)",1,2877.84,233.314,365.423,13.1632,783.552,16.3235,1338.79,26.9255
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(36/32)",2,2848.83,128.956,368.451,8.41344,1355.43,330.596,828.31,250.119
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(36/32)",4,2880.52,168.57,364.567,9.32679,2374.1,314.089,448.697,53.2225
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(40/32)",0,3493.44,13.1047,300.16,1.11401,84.68,1.80447,12388.4,263.23
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(40/32)",1,3494.17,104.442,300.256,5.44755,386.652,159.073,4827.35,5177.55
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(40/32)",2,3497.98,135.599,300.047,7.27094,478.32,341.578,6575.1,6488.48
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(40/32)",4,3502.66,174.382,299.82,9.14903,1158.8,246.831,947.749,205.472
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(40/32)",8,3491.69,11.0535,300.31,0.951508,2662.8,343.302,400.91,56.4758
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(48/32)",0,3418.84,165.705,307.152,9.22965,81.516,1.67671,12868.8,261.758
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(48/32)",1,3408.02,163.975,308.121,9.21504,198.816,125.352,8977.6,5905.58
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(48/32)",2,3401.94,137.042,308.536,7.65924,366.244,154.539,4851.35,4958.42
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(48/32)",4,3398.64,94.3391,308.677,5.35952,569.416,166.967,2011.64,621.312
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(48/32)",8,3393.02,11.3048,309.043,1.03071,1189.72,300.124,933.709,219.35
"Xorec, AVX2",,500,500,0,0,0,131072,4096,"(48/32)",16,3410.27,178.239,307.981,9.69205,2434.84,398.766,442.041,70.426
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(72/64)",0,2907.3,100.38,360.915,7.13588,238.908,7.57564,4393.4,137.883
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(72/64)",1,2911.59,159.234,360.717,10.6247,452.968,141.427,2663.89,1122.39
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(72/64)",2,2903.21,96.2691,361.408,6.97583,722.766,193.352,1537.49,353.201
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(72/64)",4,2911.23,184.955,360.895,11.3032,1469.43,164.476,723.539,89.1319
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(72/64)",8,2914.42,183.983,360.584,12.6265,2700.85,341.179,395.79,60.5003
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(80/64)",0,3596.07,139.81,291.867,7.1785,242.46,7.76666,4329.16,138.441
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(80/64)",1,3546.4,97.6585,295.814,5.10755,408.518,105.673,2595.39,133.687
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(80/64)",2,3554.65,165.034,295.386,8.62959,536.936,61.2557,1984.75,281.551
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(80/64)",4,3551.26,140.575,295.555,7.25332,808.59,179.158,1352.52,282.432
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(80/64)",8,3546.19,97.4228,295.83,5.09828,1319.09,145.307,804.524,88.1039
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(80/64)",16,3573.87,174.408,293.832,8.86575,2662.34,385.556,401.712,55.9262
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(96/64)",0,3478.01,162.581,301.901,8.86446,260.642,9.05704,4027.9,139.768
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(96/64)",1,3435.64,97.9621,305.358,5.38405,331.582,31.0869,3195.22,353.625
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(96/64)",2,3438.81,132.188,305.206,7.35214,351.332,60.863,3078.83,554.975
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(96/64)",4,3433.61,96.2632,305.534,5.33173,529.226,82.1736,2031.51,327.177
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(96/64)",8,3435.27,100.566,305.398,5.47574,779.576,98.8907,1366.99,175.512
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(96/64)",16,3451.91,222.264,304.539,12.0207,1577.36,254.705,681.038,104.321
"Xorec, AVX2",,500,500,0,0,0,131072,2048,"(96/64)",32,3435.08,102.366,305.419,5.53016,2720.73,363.548,392.189,51.2307
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(144/128)",0,3316.72,134.954,316.468,7.89675,386.186,10.8058,2717.32,75.7184
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(144/128)",1,3308.08,10.0937,316.977,0.966715,534.666,113.938,2009.46,310.606
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(144/128)",2,3319.01,143.303,316.283,8.1871,682.498,83.8072,1562.52,213.602
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(144/128)",4,3309.01,9.32329,316.887,0.892847,979.94,91.8392,1079.13,97.2697
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(144/128)",8,3326.54,244.557,316.037,11.3928,1587.94,172.335,668.384,74.9622
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(144/128)",16,3316.34,145.003,316.544,8.25158,2972.09,337.301,357.463,41.5397
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(160/128)",0,3707.91,244.467,283.402,9.28708,413.84,104.608,2561.12,130.133
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(160/128)",1,3690.18,135.83,284.398,6.67033,479.446,33.783,2199.26,173.907
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(160/128)",2,3688.77,156.993,284.527,6.26476,549.242,119.993,1946.55,226.942
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(160/128)",4,3685.63,12.1768,284.507,0.939846,693.546,79.3048,1531.81,175.79
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(160/128)",8,3723.79,299.946,282.661,13.4447,1015.08,164.796,1052.54,136.347
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(160/128)",16,3703.41,252.283,283.865,10.7605,1609.18,162.553,658.098,64.992
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(160/128)",32,3688.07,138.184,284.568,6.75358,3097.6,284.582,341.304,30.7274
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",0,3537.26,206.015,296.948,8.86529,452.036,11.3222,2321.08,56.2466
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",1,3532.41,132.888,297.108,7.0378,479.704,28.984,2193.96,134.245
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",2,3530.7,168.751,297.319,6.94238,564.852,133.934,1879.99,109.033
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",4,3538.99,188.567,296.822,9.97021,559.346,46.4517,1886.78,147.77
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",8,3536.22,186.312,297.013,9.3122,771.824,95.2972,1379.17,169.613
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",16,3525.36,98.2426,297.582,5.17654,1024.05,115.829,1035.85,106.973
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",32,3529.16,138.667,297.401,7.24359,1834.12,227.607,579.287,62.1778
"Xorec, AVX2",,500,500,0,0,0,131072,1024,"(192/128)",64,3545.09,231.108,296.546,11.7558,3254.52,426.522,326.627,34.7098
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(36/32)",0,6803.64,603.159,309.378,13.1981,82.24,4.03819,25540.6,854.225
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(36/32)",1,6767.29,355.885,310.444,10.5621,1431.27,80.8064,1467.43,39.9139
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(36/32)",2,6750.03,282.673,311.014,7.90311,2104.39,680.85,1111.22,356.666
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(36/32)",4,6755.63,268.047,310.714,7.25243,5047.31,942.578,434.611,105.239
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(40/32)",0,6715.07,250.722,312.588,7.72367,85.496,8.31579,24612.6,935.356
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(40/32)",1,6702.6,314.853,313.307,9.02548,756.124,172.265,3699.74,5061.71
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(40/32)",2,6707.03,274.331,313.029,8.6596,1136.74,495.751,5199.24,9235.38
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(40/32)",4,6700.22,297.497,313.406,9.29204,2694.54,364.747,792.071,102.823
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(40/32)",8,6695.33,283.772,313.591,8.69875,4659.79,728.664,463.113,85.8718
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(48/32)",0,6529.44,219.586,321.447,7.86469,85.386,10.7359,24673.9,987.538
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(48/32)",1,6525.96,208.23,321.586,7.25859,357.632,169.046,11042.8,11025.5
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(48/32)",2,6522.09,202.995,321.766,7.08447,526.906,320.019,9137.46,10802.1
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(48/32)",4,6518.1,195.643,321.949,6.89885,1159.18,307.227,1955.84,588.403
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(48/32)",8,6529.19,203.27,321.42,7.21755,2080.63,602.028,1118.12,404.696
"Xorec, AVX2",,500,500,0,0,0,262144,8192,"(48/32)",16,6525.02,243.225,321.724,8.68365,4118.24,630.135,520.647,76.2797
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(72/64)",0,6901.96,324.603,304.277,9.37824,244.61,12.4386,8594.22,411.499
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(72/64)",1,6858.9,339.259,306.195,8.97855,880.248,22.1097,2383.9,57.8623
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(72/64)",2,6893.19,539.437,305.15,12.0997,1404,336.623,1599.9,463.863
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(72/64)",4,6866.4,415.573,306.069,10.8596,2901.79,294.394,729.418,71.6742
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(72/64)",8,6868.4,331.345,305.766,9.07732,5505.66,427.893,383.179,29.5698
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(80/64)",0,6755.94,265.102,310.713,7.66119,244.46,10.9526,8594.08,348.058
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(80/64)",1,6743.88,251.288,311.229,6.98129,502.02,124.004,4643.1,1896.79
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(80/64)",2,6757.2,338.502,310.812,9.13076,797.47,246.892,2807.54,715.59
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(80/64)",4,6765.83,329.942,310.455,10.2354,1476.05,222.277,1460.32,268.226
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(80/64)",8,6754.88,297.799,310.855,8.96171,2572.07,437.943,838.907,147.671
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(80/64)",16,6759.7,328.937,310.665,8.70375,4914.96,709.687,435.631,62.9517
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(96/64)",0,6572.08,298.341,319.539,9.73455,263.514,10.7193,7970.35,296.72
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(96/64)",1,6558.38,200.104,319.975,6.86308,394.124,56.4128,5473.7,1076.37
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(96/64)",2,6554.87,157.758,320.08,5.9028,494.89,113.53,4547.34,1404.88
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(96/64)",4,6587.39,369.9,318.914,10.1114,691.322,206.063,3360.17,1239.87
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(96/64)",8,6567.3,243.535,319.647,8.53526,1426.58,349.167,1588.23,511.946
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(96/64)",16,6573.97,246.34,319.329,8.59266,2465.91,429.57,878.027,161.857
"Xorec, AVX2",,500,500,0,0,0,262144,4096,"(96/64)",32,6568.41,274.745,319.656,9.05381,4903.42,586.782,433.947,52.9567
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(144/128)",0,7056.11,331.837,297.699,10.5455,387.596,12.4969,5416.02,166.911
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(144/128)",1,7024.47,341.566,299.047,10.302,689.006,102.391,3156.69,763.971
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(144/128)",2,6968.9,203.041,301.113,6.32679,986.584,175.579,2193.27,410.18
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(144/128)",4,6981.23,243.629,300.653,7.34581,1659.36,166.337,1277.54,137.257
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(144/128)",8,6972.01,224.269,301.021,7.0405,2855.44,312.51,743.273,81.4916
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(144/128)",16,7011.16,233.654,299.355,7.25647,5540.54,518.495,381.812,35.7154
