name,err_msg,iterations,warmup_iterations,gpu_computation,gpu_blocks,threads_per_block,message_size_B,block_size_B,EC,lost_blocks,cpu_threads,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(12/8)",0,1,517182,2181.5,129.761,0.539062,45691.3,896.044,1469.28,27.4096
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(20/16)",0,1,428868,9170.59,156.529,2.32713,54655.9,990.736,1228.23,21.5189
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(24/16)",0,1,511266,12474,131.317,2.34436,56477.3,1613.54,1189,26.839
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(36/32)",0,1,384752,9480.09,174.491,2.83737,35997.6,965.937,1865.47,45.3511
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(40/32)",0,1,427472,1770.12,156.993,0.646115,36800.7,792.147,1824.37,36.8685
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(12/8)",0,1,514932,9154.63,130.356,1.70707,23479.4,590.848,2859.8,63.8559
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(20/16)",0,1,427851,1549.9,156.853,0.56724,27956.7,727.764,2401.95,57.4238
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(24/16)",0,1,516219,9106.18,130.031,1.69586,28837.8,701.355,2328.37,51.7397
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(36/32)",0,1,383587,1562.05,174.954,0.709789,18548.9,503.121,3620.25,85.4256
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(40/32)",0,1,428791,1730.51,156.51,0.630873,19185.6,555.161,3500.42,87.9722
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(12/8)",0,1,515198,9334.27,130.29,1.7407,12200.1,299.389,5503.38,110.244
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(20/16)",0,1,428181,7964.43,156.769,2.12127,14656.3,445.873,4582.44,119.017
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(24/16)",0,1,723150,9156.8,92.8126,0.932406,14911.5,450.899,4504.01,117.072
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(36/32)",0,1,383589,1702.74,174.953,0.774874,9776.67,410.938,6873.29,217.799
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",0,1,557720,2282.14,120.329,0.492305,10037.9,404.781,6693.88,208.789
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",1,1,556845,3092.18,120.52,0.658677,53530.1,23010.9,2243.06,2318.07
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",2,1,556836,8112.16,120.538,1.37594,98911.8,33317.1,1025.33,1361.63
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",4,1,557429,3508.18,120.395,0.722144,190068,45889.3,385.526,148.003
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",8,1,558192,2355.08,120.228,0.507377,364995,56669.6,189.167,35.5367
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(12/8)",0,1,722955,1788.32,92.8264,0.229743,6588.98,215.72,10192.7,236.124
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(20/16)",0,1,558041,3259.61,120.262,0.680807,7888.91,279.673,8514.45,219.605
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(24/16)",0,1,701729,9161.39,95.6464,0.983903,8072.74,288.222,8320.76,218.765
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(36/32)",0,1,472298,8987.4,142.129,2.08918,5513.07,66.914,12174.5,147.986
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(40/32)",0,1,545736,2852.96,122.973,0.642486,5607.73,282.237,11986.8,395.479
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(12/8)",0,2,513524,2776.53,130.687,0.690036,43500.7,1303.79,1544.02,43.9373
