name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,2048,32,1.98031e+07,9416.3
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,2048,64,1.97806e+07,60247.5
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,2048,128,1.9802e+07,1929.92
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,2048,256,1.97985e+07,5077.67
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,2048,512,1.97972e+07,6642.31
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,2048,1024,1.97758e+07,72985.5
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,1024,32,1.97996e+07,6075.32
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,1024,64,1.98017e+07,4125.89
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,1024,128,1.97768e+07,51665.1
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,1024,256,1.97751e+07,71722.6
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,1024,512,1.97952e+07,9277.55
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,1024,1024,1.98012e+07,3765.73
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,512,32,1.97739e+07,61846.9
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,512,64,1.9777e+07,75207.1
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,512,128,2.00266e+07,716349
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,512,256,1.97921e+07,11231.8
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,512,512,1.97957e+07,16981
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,512,1024,1.98005e+07,4365.47
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,256,32,1.97973e+07,5441.37
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,256,64,1.97992e+07,4228.5
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,256,128,1.97765e+07,66491.4
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,256,256,1.98003e+07,2867.4
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,256,512,1.97982e+07,8405.43
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,256,1024,1.9799e+07,7108.99
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,128,32,1.97534e+07,89660
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,128,64,1.97993e+07,3652.86
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,128,128,1.97968e+07,12776.2
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,128,256,1.97944e+07,20197
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,128,512,1.97691e+07,75046.3
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,128,1024,1.97999e+07,4502.2
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,64,32,1.98004e+07,7870.8
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,64,64,1.97569e+07,87677.8
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,64,128,1.98002e+07,4292.25
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,64,256,1.97917e+07,19550.7
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,64,512,1.97958e+07,11533.9
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,64,1024,1.97769e+07,73197.9
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,32,32,1.98e+07,5708.72
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,32,64,1.97993e+07,5445.49
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,32,128,1.97728e+07,71607.7
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,32,256,1.97693e+07,73870
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,32,512,1.97987e+07,7489.1
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,32,1024,1.97955e+07,8459.08
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,32,1.97939e+07,14412.8
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,64,1.97945e+07,19488.6
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,128,1.97964e+07,5360.74
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,256,1.98021e+07,4673.26
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,512,1.97971e+07,7056.71
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,1024,1.97983e+07,5764.79
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,32,1.98e+07,4935.93
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,64,1.98003e+07,3050.02
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,128,1.98e+07,2809.98
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,256,1.98028e+07,4050.47
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,512,1.98013e+07,3782.42
