name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev
"Xorec GPU/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,2048,32,1.12452e+08,3.67374e+06
"Xorec GPU/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,2048,32,5.54181e+07,68015.9
"Xorec GPU/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,2048,32,2.80316e+07,64267.9
"Xorec GPU/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,2048,32,1.4238e+07,8121.98
"Xorec GPU/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,2048,32,1.42424e+07,7724.89
"Xorec GPU/iterations:1",,10,134217728,4096,"FEC(32,8)",0,1,2048,32,7.58945e+06,64935.8
"Xorec GPU/iterations:1",,10,134217728,4096,"FEC(32,4)",0,1,2048,32,7.80633e+06,456437
"Xorec GPU/iterations:1",,10,134217728,8192,"FEC(2,1)",0,1,2048,32,5.62621e+07,2.52935e+06
"Xorec GPU/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,2048,32,2.80398e+07,58220.9
"Xorec GPU/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,2048,32,1.4242e+07,22777.2
"Xorec GPU/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,2048,32,7.60774e+06,11772.6
"Xorec GPU/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,2048,32,7.60575e+06,14561.6
"Xorec GPU/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,2048,32,4.19973e+06,9223.01
"Xorec GPU/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,2048,32,4.1908e+06,6768.03
"Xorec GPU/iterations:1",,10,134217728,16384,"FEC(2,1)",0,1,2048,32,2.80434e+07,25385.2
"Xorec GPU/iterations:1",,10,134217728,16384,"FEC(4,2)",0,1,2048,32,1.42434e+07,5894.35
"Xorec GPU/iterations:1",,10,134217728,16384,"FEC(8,4)",0,1,2048,32,7.60758e+06,8318.62
"Xorec GPU/iterations:1",,10,134217728,16384,"FEC(16,4)",0,1,2048,32,4.19597e+06,7575.43
"Xorec GPU/iterations:1",,10,134217728,16384,"FEC(16,8)",0,1,2048,32,4.21105e+06,6992.75
"Xorec GPU/iterations:1",,10,134217728,16384,"FEC(32,8)",0,1,2048,32,2.17106e+06,2932.98
"Xorec GPU/iterations:1",,10,134217728,16384,"FEC(32,4)",0,1,2048,32,2.1607e+06,3983.5
"Xorec GPU/iterations:1",,10,134217728,32768,"FEC(2,1)",0,1,2048,32,1.42397e+07,7335.73
"Xorec GPU/iterations:1",,10,134217728,32768,"FEC(4,2)",0,1,2048,32,7.60608e+06,20628.8
"Xorec GPU/iterations:1",,10,134217728,32768,"FEC(8,4)",0,1,2048,32,4.20943e+06,8162.3
"Xorec GPU/iterations:1",,10,134217728,32768,"FEC(16,4)",0,1,2048,32,2.41148e+06,2625.83
"Xorec GPU/iterations:1",,10,134217728,32768,"FEC(16,8)",0,1,2048,32,2.40413e+06,2809.78
"Xorec GPU/iterations:1",,10,134217728,32768,"FEC(32,8)",0,1,2048,32,1.33905e+06,3969.81
"Xorec GPU/iterations:1",,10,134217728,32768,"FEC(32,4)",0,1,2048,32,1.32656e+06,3813.98
"Xorec GPU/iterations:1",,10,134217728,65536,"FEC(2,1)",0,1,2048,32,8.67766e+06,7261.29
"Xorec GPU/iterations:1",,10,134217728,65536,"FEC(4,2)",0,1,2048,32,4.70884e+06,61549.1
"Xorec GPU/iterations:1",,10,134217728,65536,"FEC(8,4)",0,1,2048,32,2.40086e+06,8988.09
"Xorec GPU/iterations:1",,10,134217728,65536,"FEC(16,4)",0,1,2048,32,1.33951e+06,3534.63
"Xorec GPU/iterations:1",,10,134217728,65536,"FEC(16,8)",0,1,2048,32,1.36686e+06,2296.01
"Xorec GPU/iterations:1",,10,134217728,65536,"FEC(32,8)",0,1,2048,32,829579,2368.3
"Xorec GPU/iterations:1",,10,134217728,65536,"FEC(32,4)",0,1,2048,32,822237,2359.92
"Xorec GPU/iterations:1",,10,134217728,131072,"FEC(2,1)",0,1,2048,32,4.72559e+06,4418.93
"Xorec GPU/iterations:1",,10,134217728,131072,"FEC(4,2)",0,1,2048,32,2.40354e+06,2727.28
