name,xorec_version,num_iterations,block_size_B,num_cycles,num_instructions
"Theoretical XOR-EC (AVX2)",2,8277,1048576,236649,131084
"Theoretical XOR-EC (AVX)",1,237881,1048576,8216.1,24580
"Theoretical XOR-EC (SCALAR)",0,1853,1048576,1.05714e+06,393230
"Theoretical XOR-EC (AVX2)",2,39499,524288,49584.3,65548
"Theoretical XOR-EC (AVX)",1,476031,524288,4110.68,12291.3
"Theoretical XOR-EC (SCALAR)",0,11195,524288,174575,196621
"Theoretical XOR-EC (AVX2)",2,79189,262144,24735.1,32780
"Theoretical XOR-EC (AVX)",1,950679,262144,2060.33,6147.06
"Theoretical XOR-EC (SCALAR)",0,22438,262144,86452.2,98317
"Theoretical XOR-EC (AVX2)",2,158406,131072,12368.6,16396
"Theoretical XOR-EC (AVX)",1,1892010,131072,1035.35,3075.03
"Theoretical XOR-EC (SCALAR)",0,44923,131072,42843.9,49165
"Theoretical XOR-EC (AVX2)",2,418731,65536,4681.89,8204
"Theoretical XOR-EC (AVX)",1,3746483,65536,522.911,1539
"Theoretical XOR-EC (SCALAR)",0,148882,65536,13160.4,24589
"Theoretical XOR-EC (AVX2)",2,818931,32768,2343.18,4108
"Theoretical XOR-EC (AVX)",1,7345603,32768,266.643,771.001
"Theoretical XOR-EC (SCALAR)",0,297610,32768,6581.57,12301
"Theoretical XOR-EC (AVX2)",2,1920346,16384,1019.91,2060
"Theoretical XOR-EC (AVX)",1,14136449,16384,138.597,387
"Theoretical XOR-EC (SCALAR)",0,765119,16384,2562.24,6157
"Theoretical XOR-EC (AVX2)",2,5364916,8192,365.133,1036
"Theoretical XOR-EC (AVX)",1,26500812,8192,74.1976,195
"Theoretical XOR-EC (SCALAR)",0,1604519,8192,1220.93,3085
"Theoretical XOR-EC (AVX2)",2,10751256,4096,182.196,524
"Theoretical XOR-EC (AVX)",1,58263705,4096,33.5878,99
"Theoretical XOR-EC (SCALAR)",0,3203154,4096,611.962,1549
"Theoretical XOR-EC (AVX2)",2,21493926,2048,91.1188,268
"Theoretical XOR-EC (AVX)",1,66719952,2048,29.4542,51
"Theoretical XOR-EC (SCALAR)",0,6370560,2048,307.758,781
