name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"Xorec/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,3.2909e+07,406134,3.25013e+07,3.3639e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,3.37751e+07,107433,3.36713e+07,3.40359e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,3.55014e+07,524659,3.49314e+07,3.61607e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,3.14905e+07,330084,3.09819e+07,3.18978e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,3.28034e+07,163190,3.25557e+07,3.30082e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,6.32149e+07,176590,6.29051e+07,6.34816e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,3.47213e+07,273732,3.42873e+07,3.51035e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,3.48071e+07,507153,3.42895e+07,3.57043e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,3.34164e+07,165212,3.31474e+07,3.36371e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,6.39441e+07,519395,6.33388e+07,6.46706e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,3.78632e+07,313909,3.74785e+07,3.82838e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,3.79564e+07,101370,3.778e+07,3.80974e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,1.99049e+07,47557,1.9824e+07,1.99665e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,3.7024e+07,182372,3.67945e+07,3.74318e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,3.09498e+07,144966,3.07783e+07,3.12405e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,2.42835e+07,3.31842e+06,1.48452e+07,2.56585e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,3.34601e+07,170688,3.32513e+07,3.37498e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,6.58558e+07,536261,6.529e+07,6.64562e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,5.60174e+07,465447,5.5502e+07,5.68262e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,4.60076e+07,99700.1,4.58946e+07,4.62091e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(32,4)",0,1,0,0,0,8.1468e+06,1.76271e+06,7.45208e+06,1.31466e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(32,4)",0,1,0,0,0,2.32353e+07,23791.6,2.32039e+07,2.32668e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(32,4)",0,1,0,0,0,2.1733e+07,186503,2.14799e+07,2.20474e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(32,4)",0,1,0,0,0,1.39052e+07,1.83668e+06,1.32717e+07,1.91317e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(32,8)",0,1,0,0,0,2.00304e+07,272290,1.99232e+07,2.08042e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,1,0,0,0,3.89215e+07,104561,3.8784e+07,3.91144e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,1,0,0,0,4.23978e+07,232789,4.21098e+07,4.29108e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,1,0,0,0,3.36664e+07,49887,3.35965e+07,3.3738e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(32,8)",0,2,0,0,0,1.23727e+07,117083,1.22603e+07,1.25953e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,2,0,0,0,2.18511e+07,80408,2.16986e+07,2.19333e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,2,0,0,0,2.33692e+07,95617.8,2.31867e+07,2.34699e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(32,8)",0,2,0,0,0,1.85587e+07,99306.5,1.83811e+07,1.86659e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(2,1)",0,1,0,0,0,3.31145e+07,207442,3.28726e+07,3.36172e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(2,1)",0,1,0,0,0,3.33733e+07,112263,3.32394e+07,3.35536e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(2,1)",0,1,0,0,0,3.37914e+07,340801,3.31895e+07,3.43549e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(2,1)",0,1,0,0,0,3.18642e+07,687629,3.11456e+07,3.30628e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,3.31147e+07,130416,3.29366e+07,3.34325e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,6.17813e+07,164005,6.15323e+07,6.1953e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,3.3045e+07,97924.6,3.29151e+07,3.32232e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,3.36188e+07,98556.7,3.34688e+07,3.37341e+07
