plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,7.42791e+08,1.88621e+06,12749.8,569.258,3.78937,2.0571e+06,4573.73,521.968,1.16
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,2.18248e+08,962420,2568.27,557.834,1.48741,1.03775e+06,2373.58,517.342,1.18292
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,1.08847e+08,506903,2938.87,529.56,3.07676,524233,1819,512.053,1.77727
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,5.0052e+07,267991,3778.58,500.83,6.86382,263715,2123.31,508.95,4.09147
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.49925e+07,143921,2651.48,466.29,8.4594,131614,1865.21,509.892,7.00233
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.2787e+07,62320.2,727.127,538.42,6.24435,68605.7,878.467,489.091,6.20265
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,6.68782e+06,39736.2,1108.28,422.215,11.3165,41855,344.944,400.841,3.30096
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.4905e+06,29554.7,755.929,283.833,7.16947,28217.6,523.649,297.283,5.41451
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,1.9012e+06,23283.1,658.279,180.144,5.067,21441,596.792,195.621,5.37889
0,"XOR-EC (GPU Cmp32)/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.09731e+06,20749.1,1867.35,101.072,7.66954,18030.9,553.779,116.309,3.56432
