name,err_msg,iterations,warmup_iterations,gpu_computation,gpu_blocks,threads_per_block,message_size_B,block_size_B,EC,lost_blocks,cpu_threads,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
"XOR-EC, AVX-512",,500,100,0,0,0,134217728,65536,"(40/32)",0,1,7.47802e+06,208928,143.58638035201832,4.0116521852290425,999999999,999999999,999999999,999999999
"ISA-L",,500,100,0,0,0,134217728,65536,"(40/32)",0,1,2.00279e+07,255877,53.612302038656075,0.6849522420595869,999999999,999999999,999999999,999999999
"XOR-EC, AVX-512",,500,100,0,0,0,134217728,65536,"(40/32)",0,2,3.8669e+06,63419,277.67509477876337,4.5540036814436355,999999999,999999999,999999999,999999999
"ISA-L",,500,100,0,0,0,134217728,65536,"(40/32)",0,2,9.97564e+06,209197,107.6363846329659,2.257219462216215,999999999,999999999,999999999,999999999
"XOR-EC, AVX-512",,500,100,0,0,0,134217728,65536,"(40/32)",0,4,2.05861e+06,33451.5,521.5858389884437,8.47553868528858,999999999,999999999,999999999,999999999
"ISA-L",,500,100,0,0,0,134217728,65536,"(40/32)",0,4,5.12747e+06,143160,209.40967455684773,5.846760489980111,999999999,999999999,999999999,999999999
"XOR-EC, AVX-512",,500,100,0,0,0,134217728,65536,"(40/32)",0,8,1.1722e+06,33065.8,916.0056509128135,25.83898622415365,999999999,999999999,999999999,999999999
"ISA-L",,500,100,0,0,0,134217728,65536,"(40/32)",0,8,2.78499e+06,68922.1,385.5460249408436,9.541377773555855,999999999,999999999,999999999,999999999
"XOR-EC, AVX-512",,500,100,0,0,0,134217728,65536,"(40/32)",0,16,796473,42564.3,1348.1208076105531,72.04490107182274,999999999,999999999,999999999,999999999
"ISA-L",,500,100,0,0,0,134217728,65536,"(40/32)",0,16,1.56068e+06,39021.9,687.9961452700105,17.202063703713655,999999999,999999999,999999999,999999999
"XOR-EC, AVX-512",,500,100,0,0,0,134217728,65536,"(40/32)",0,32,672554,56936.2,1596.513921558715,135.1555948528316,999999999,999999999,999999999,999999999
"ISA-L",,500,100,0,0,0,134217728,65536,"(40/32)",0,32,1.07268e+06,50816.2,1000.9898795540142,47.42001521179913,999999999,999999999,999999999,999999999

