name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev
"Xorec/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.78029e+07,20125.4
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,1.89438e+08,555004
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.77842e+07,8626.15
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.98391e+07,16222
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,0,0,0,2.65687e+07,19367.8
"Xorec/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,2.79299e+07,20454.1
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,1.47661e+08,421359
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,4.53314e+07,50080.3
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,2.83167e+07,53974.7
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,0,0,0,3.14581e+07,11259.1
"Xorec/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,2.79702e+07,31014.3
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,1.45894e+08,209399
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,4.71034e+07,42913.4
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,2.85198e+07,26951.5
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,0,0,0,4.07095e+07,41901.4
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,2.13543e+07,12473.5
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,1.33669e+08,123615
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,3.37546e+07,14465.7
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,2.1394e+07,36533.9
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,0,0,0,3.43912e+07,49371.2
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,2.83215e+07,42404.8
"Wirehair (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,1.43866e+08,324197
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,5.03352e+07,29939.5
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,0,0,0,3.7419e+07,54142.8
