name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"Xorec/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,2.29472e+07,4.11926e+06,2.07392e+07,3.30674e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,2.08303e+07,683393,2.04257e+07,2.24985e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,2.07041e+07,1.39777e+06,1.98052e+07,2.45301e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,0,0,0,2.00052e+07,291424,1.95024e+07,2.04493e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,2.07042e+07,664983,2.03788e+07,2.25634e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,4.36721e+07,452481,4.25104e+07,4.40681e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,1.84597e+07,400065,1.81732e+07,1.95444e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,0,0,0,2.1547e+07,89026.8,2.14191e+07,2.1675e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,2.09805e+07,298643,2.07959e+07,2.17868e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,4.49406e+07,254453,4.43939e+07,4.52395e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,1.87936e+07,413432,1.85153e+07,1.98531e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(8,4)",0,1,0,0,0,2.69582e+07,217287,2.67615e+07,2.75116e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,1.23803e+07,108292,1.22962e+07,1.26665e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,2.44729e+07,29870.7,2.44099e+07,2.4508e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,1.10106e+07,43050.8,1.09264e+07,1.10839e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(16,4)",0,1,0,0,0,1.9753e+07,62183.8,1.96738e+07,1.98861e+07
"Xorec/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,2.10979e+07,188838,2.09286e+07,2.15163e+07
"Leopard (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,4.70935e+07,209931,4.65961e+07,4.73157e+07
"ISA-L (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,2.16577e+07,253217,2.13982e+07,2.2178e+07
"CM256 (MDS)/iterations:1",,10,134217728,4096,"FEC(16,8)",0,1,0,0,0,3.87017e+07,237998,3.85165e+07,3.92377e+07
