plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,8.13293e+08,3.83845e+07,128322,27.9733,0.0930007,1.05154e+07,54651.7,102.112,0.529569
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,2.51525e+08,1.88752e+07,28076.7,28.4432,0.0423037,5.73076e+06,23764.9,93.6824,0.386805
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,1.24334e+08,9.19047e+06,17025.8,29.208,0.054164,3.41603e+06,13687.6,78.5811,0.314734
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,6.11397e+07,4.16955e+06,15000.7,32.19,0.115816,1.98645e+06,5427.06,67.5665,0.184372
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,3.03643e+07,1.97517e+06,12331.1,33.9762,0.212144,998097,5324.68,67.2368,0.360067
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.54391e+07,977274,4127.04,34.3347,0.145172,894824,4022.22,37.4984,0.168242
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,7.58782e+06,501217,2293.94,33.473,0.152263,418589,2309.43,40.0804,0.220362
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,4.33622e+06,283316,2030.16,29.6086,0.21053,238244,1159.62,35.2102,0.171623
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,2.59733e+06,170766,1448.4,24.5617,0.208293,143139,973.979,29.3023,0.19871
0,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.65586e+06,107162,1561.68,19.57,0.28661,91679.3,1668.39,22.8749,0.414858
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,1,128,128,4.50167e+06,356756,3060.07,23.5136,0.200428,33215.4,556.096,252.552,4.27403
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,4.42072e+06,328049,2240.05,25.5712,0.173388,686.4,97.2719,12221.2,1451.99
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,4.3872e+06,299742,2514.02,27.986,0.233649,641.3,25.5997,13080.6,509.113
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,4.47452e+06,290739,1961.12,28.8527,0.193812,215453,2317.58,38.9347,0.412275
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,4.41042e+06,286776,4342.44,29.2514,0.43562,251199,1366.87,33.3943,0.180025
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,4.33459e+06,284581,2594.14,29.477,0.267322,238675,1751.3,35.1466,0.255379
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.015625,128,2,4.3447e+06,280181,1932.8,29.9399,0.205906,248794,2184.48,33.7171,0.293415
1,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,1,0.0078125,128,1,4.44018e+06,281126,4026.65,29.8393,0.418151,285775,2920.51,29.3539,0.297857
2,"XOR-EC (GPU Ptr), AVX2,
Touched/iterations:10/real_time",,10,1048576,8192,128,1,128,128,4.83509e+06,357000,1556.35,23.4975,0.102371,294822,2079.35,28.4531,0.200933
