name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev
"Xorec/iterations:1",,500,134217728,4096,"FEC(2,1)",0,0,0,0,2.74677e+07,16139.5
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(2,1)",0,0,0,0,2.74118e+07,26495.5
"ISA-L (MDS)/iterations:1",,500,134217728,4096,"FEC(2,1)",0,0,0,0,2.9408e+07,21878.8
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(2,1)",0,0,0,0,2.62574e+07,19639.2
"Xorec/iterations:1",,500,134217728,4096,"FEC(4,2)",0,0,0,0,2.75349e+07,17204.7
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(4,2)",0,0,0,0,4.45802e+07,46880.9
"ISA-L (MDS)/iterations:1",,500,134217728,4096,"FEC(4,2)",0,0,0,0,2.79716e+07,32374
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(4,2)",0,0,0,0,3.12351e+07,29881.3
"Xorec/iterations:1",,500,134217728,4096,"FEC(8,4)",0,0,0,0,2.76152e+07,24474.4
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(8,4)",0,0,0,0,4.65606e+07,26728.5
"ISA-L (MDS)/iterations:1",,500,134217728,4096,"FEC(8,4)",0,0,0,0,2.82198e+07,32839.3
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(8,4)",0,0,0,0,4.04527e+07,99008.4
"Xorec/iterations:1",,500,134217728,4096,"FEC(16,4)",0,0,0,0,2.11361e+07,29443.4
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(16,4)",0,0,0,0,3.34994e+07,18281.6
"ISA-L (MDS)/iterations:1",,500,134217728,4096,"FEC(16,4)",0,0,0,0,2.1263e+07,26002
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(16,4)",0,0,0,0,3.42397e+07,99594.6
"Xorec/iterations:1",,500,134217728,4096,"FEC(16,8)",0,0,0,0,2.81055e+07,34510.6
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(16,8)",0,0,0,0,4.96564e+07,44812.2
"ISA-L (MDS)/iterations:1",,500,134217728,4096,"FEC(16,8)",0,0,0,0,3.73568e+07,45981.6
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(16,8)",0,0,0,0,5.83357e+07,246192
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,8)",0,0,0,0,2.1766e+07,17539.5
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,0,0,0,3.58986e+07,40131.6
"ISA-L (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,0,0,0,4.16741e+07,791329
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,8)",0,0,0,0,5.20253e+07,258413
"Xorec/iterations:1",,500,134217728,4096,"FEC(32,4)",0,0,0,0,1.41716e+07,17593.1
"Leopard (MDS)/iterations:1",,500,134217728,4096,"FEC(32,4)",0,0,0,0,2.72722e+07,31130.4
"ISA-L (MDS)/iterations:1",,500,134217728,4096,"FEC(32,4)",0,0,0,0,6.62796e+07,446982
"CM256 (MDS)/iterations:1",,500,134217728,4096,"FEC(32,4)",0,0,0,0,2.72033e+07,160953
"Xorec/iterations:1",,500,134217728,8192,"FEC(2,1)",0,0,0,0,2.72611e+07,28853.2
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(2,1)",0,0,0,0,2.7147e+07,26406.7
"ISA-L (MDS)/iterations:1",,500,134217728,8192,"FEC(2,1)",0,0,0,0,2.8308e+07,34451.5
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(2,1)",0,0,0,0,2.55165e+07,28511.4
"Xorec/iterations:1",,500,134217728,8192,"FEC(4,2)",0,0,0,0,2.73647e+07,38676.3
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(4,2)",0,0,0,0,4.52027e+07,29638.5
"ISA-L (MDS)/iterations:1",,500,134217728,8192,"FEC(4,2)",0,0,0,0,2.74671e+07,27255
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(4,2)",0,0,0,0,3.11892e+07,37939.3
"Xorec/iterations:1",,500,134217728,8192,"FEC(8,4)",0,0,0,0,2.90823e+07,19165.6
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(8,4)",0,0,0,0,4.76983e+07,71209.7
"ISA-L (MDS)/iterations:1",,500,134217728,8192,"FEC(8,4)",0,0,0,0,2.79628e+07,36959.3
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(8,4)",0,0,0,0,4.05696e+07,110054
"Xorec/iterations:1",,500,134217728,8192,"FEC(16,4)",0,0,0,0,2.2291e+07,24872.3
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(16,4)",0,0,0,0,3.32572e+07,46218.6
"ISA-L (MDS)/iterations:1",,500,134217728,8192,"FEC(16,4)",0,0,0,0,2.11689e+07,35952
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(16,4)",0,0,0,0,3.42923e+07,124805
"Xorec/iterations:1",,500,134217728,8192,"FEC(16,8)",0,0,0,0,2.9076e+07,15735.4
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(16,8)",0,0,0,0,5.1111e+07,62139.6
"ISA-L (MDS)/iterations:1",,500,134217728,8192,"FEC(16,8)",0,0,0,0,3.70241e+07,58318.3
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(16,8)",0,0,0,0,5.85334e+07,203121
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,8)",0,0,0,0,2.21118e+07,15479.3
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,0,0,0,3.61168e+07,51687.8
"ISA-L (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,0,0,0,4.8279e+07,1.04316e+06
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,0,0,0,5.20217e+07,278057
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,4)",0,0,0,0,1.61002e+07,22947.1
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,4)",0,0,0,0,2.579e+07,42920.7
"ISA-L (MDS)/iterations:1",,500,134217728,8192,"FEC(32,4)",0,0,0,0,6.61307e+07,441249
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,4)",0,0,0,0,2.73774e+07,198203
"Xorec/iterations:1",,500,134217728,16384,"FEC(2,1)",0,0,0,0,2.71741e+07,39364.8
"Leopard (MDS)/iterations:1",,500,134217728,16384,"FEC(2,1)",0,0,0,0,2.71098e+07,35407.7
"ISA-L (MDS)/iterations:1",,500,134217728,16384,"FEC(2,1)",0,0,0,0,2.8175e+07,33356.4
"CM256 (MDS)/iterations:1",,500,134217728,16384,"FEC(2,1)",0,0,0,0,2.52289e+07,12682.3
"Xorec/iterations:1",,500,134217728,16384,"FEC(4,2)",0,0,0,0,2.89418e+07,15497.4
"Leopard (MDS)/iterations:1",,500,134217728,16384,"FEC(4,2)",0,0,0,0,4.57209e+07,19624.8
"ISA-L (MDS)/iterations:1",,500,134217728,16384,"FEC(4,2)",0,0,0,0,2.7166e+07,30549.7
"CM256 (MDS)/iterations:1",,500,134217728,16384,"FEC(4,2)",0,0,0,0,3.1126e+07,39387.6
"Xorec/iterations:1",,500,134217728,16384,"FEC(8,4)",0,0,0,0,2.892e+07,14829
"Leopard (MDS)/iterations:1",,500,134217728,16384,"FEC(8,4)",0,0,0,0,4.69508e+07,35704.9
"ISA-L (MDS)/iterations:1",,500,134217728,16384,"FEC(8,4)",0,0,0,0,2.78079e+07,37168.7
"CM256 (MDS)/iterations:1",,500,134217728,16384,"FEC(8,4)",0,0,0,0,4.03339e+07,101661
"Xorec/iterations:1",,500,134217728,16384,"FEC(16,4)",0,0,0,0,2.20984e+07,25927
"Leopard (MDS)/iterations:1",,500,134217728,16384,"FEC(16,4)",0,0,0,0,3.25467e+07,39801.3
"ISA-L (MDS)/iterations:1",,500,134217728,16384,"FEC(16,4)",0,0,0,0,2.12552e+07,42440.9
"CM256 (MDS)/iterations:1",,500,134217728,16384,"FEC(16,4)",0,0,0,0,3.405e+07,111992
"Xorec/iterations:1",,500,134217728,16384,"FEC(16,8)",0,0,0,0,2.89273e+07,16125.9
"Leopard (MDS)/iterations:1",,500,134217728,16384,"FEC(16,8)",0,0,0,0,5.10689e+07,57440
"ISA-L (MDS)/iterations:1",,500,134217728,16384,"FEC(16,8)",0,0,0,0,3.79834e+07,279716
"CM256 (MDS)/iterations:1",,500,134217728,16384,"FEC(16,8)",0,0,0,0,5.8109e+07,286031
"Xorec/iterations:1",,500,134217728,16384,"FEC(32,8)",0,0,0,0,2.19737e+07,18378.5
"Leopard (MDS)/iterations:1",,500,134217728,16384,"FEC(32,8)",0,0,0,0,3.59363e+07,62779.9
"ISA-L (MDS)/iterations:1",,500,134217728,16384,"FEC(32,8)",0,0,0,0,9.00593e+07,212394
"CM256 (MDS)/iterations:1",,500,134217728,16384,"FEC(32,8)",0,0,0,0,5.55665e+07,227120
"Xorec/iterations:1",,500,134217728,16384,"FEC(32,4)",0,0,0,0,1.59947e+07,33951.6
"Leopard (MDS)/iterations:1",,500,134217728,16384,"FEC(32,4)",0,0,0,0,2.51852e+07,40115.1
"ISA-L (MDS)/iterations:1",,500,134217728,16384,"FEC(32,4)",0,0,0,0,6.62891e+07,571362
"CM256 (MDS)/iterations:1",,500,134217728,16384,"FEC(32,4)",0,0,0,0,3.12807e+07,142692
"Xorec/iterations:1",,500,134217728,32768,"FEC(2,1)",0,0,0,0,2.88792e+07,41849.4
"Leopard (MDS)/iterations:1",,500,134217728,32768,"FEC(2,1)",0,0,0,0,2.88398e+07,44919.6
"ISA-L (MDS)/iterations:1",,500,134217728,32768,"FEC(2,1)",0,0,0,0,2.77265e+07,36709.9
"CM256 (MDS)/iterations:1",,500,134217728,32768,"FEC(2,1)",0,0,0,0,2.50649e+07,25001.8
"Xorec/iterations:1",,500,134217728,32768,"FEC(4,2)",0,0,0,0,2.88489e+07,29506.2
"Leopard (MDS)/iterations:1",,500,134217728,32768,"FEC(4,2)",0,0,0,0,4.58424e+07,19367
"ISA-L (MDS)/iterations:1",,500,134217728,32768,"FEC(4,2)",0,0,0,0,2.70156e+07,43544
"CM256 (MDS)/iterations:1",,500,134217728,32768,"FEC(4,2)",0,0,0,0,3.13777e+07,35175.8
"Xorec/iterations:1",,500,134217728,32768,"FEC(8,4)",0,0,0,0,2.88082e+07,33816.9
"Leopard (MDS)/iterations:1",,500,134217728,32768,"FEC(8,4)",0,0,0,0,4.73672e+07,36387.2
"ISA-L (MDS)/iterations:1",,500,134217728,32768,"FEC(8,4)",0,0,0,0,2.78856e+07,69732.6
"CM256 (MDS)/iterations:1",,500,134217728,32768,"FEC(8,4)",0,0,0,0,4.18438e+07,167984
"Xorec/iterations:1",,500,134217728,32768,"FEC(16,4)",0,0,0,0,2.19213e+07,17901.4
"Leopard (MDS)/iterations:1",,500,134217728,32768,"FEC(16,4)",0,0,0,0,3.27047e+07,52059.7
"ISA-L (MDS)/iterations:1",,500,134217728,32768,"FEC(16,4)",0,0,0,0,2.4414e+07,105398
"CM256 (MDS)/iterations:1",,500,134217728,32768,"FEC(16,4)",0,0,0,0,3.88986e+07,97712.9
"Xorec/iterations:1",,500,134217728,32768,"FEC(16,8)",0,0,0,0,2.88011e+07,25938.1
