plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,7.55509e+08,1.53711e+07,14730.7,69.8547,0.0669528,1.52158e+06,4024.19,705.677,1.85772
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,2.24459e+08,7.43874e+06,7741.74,72.1723,0.0751486,772363,875.185,695.101,0.787399
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,1.12005e+08,3.74245e+06,9541.28,71.7272,0.183127,397931,1053.03,674.579,1.78478
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,5.1593e+07,1.8811e+06,5388.72,71.3505,0.204582,206952,1473.24,648.545,4.59015
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.57283e+07,949856,2341.01,70.6516,0.174175,111016,722.461,604.498,3.92064
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.30924e+07,402709,641.161,83.3219,0.132666,44603.9,609.461,752.276,10.0969
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,6.87142e+06,210173,1419.84,79.8256,0.536223,29556.9,292.556,567.624,5.68071
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.56495e+06,113756,651.018,73.7424,0.416793,22010.8,679.157,381.113,11.177
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,1.93864e+06,65401.5,1005.53,64.1316,0.979253,18515.3,1033.24,226.532,11.6105
0,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.11498e+06,40732,557.365,51.4866,0.701094,16408.9,547.295,127.806,4.33972
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,1,128,128,3.5427e+06,113630,877.802,73.8241,0.56774,1793.7,56.964,4676.71,146.01
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,3.5834e+06,113881,683.709,73.6614,0.443152,21573.7,515.623,388.835,9.1467
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,3.56927e+06,113281,335.191,74.0514,0.219282,22308.5,715.424,376.027,11.8384
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,3.56626e+06,113601,576.454,73.8426,0.375543,21917.8,250.485,382.73,4.36804
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,3.56746e+06,113423,412.119,73.9584,0.26838,22226.3,556.808,377.418,9.38417
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.56783e+06,113231,956.22,74.0841,0.623242,22129.6,211.455,379.067,3.64385
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.015625,128,2,3.5675e+06,113256,580.964,74.0675,0.379289,23061.7,372.245,363.746,5.77639
1,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,0.0078125,128,1,3.56806e+06,113942,672.343,73.6217,0.432533,26005.8,384.985,322.567,4.7769
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,128,1,128,128,4.23979e+06,113624,797.536,73.8277,0.517305,397936,2656.33,21.0803,0.141095
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,64,1,128,128,3.8833e+06,113673,503.639,73.7958,0.326002,194525,5642.4,43.1235,1.23456
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,32,1,128,128,3.7055e+06,113368,533.996,73.9942,0.348049,84710.6,2008.04,99.0267,2.25416
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,16,1,128,128,3.61928e+06,113081,660.02,74.1822,0.432116,42530.1,1484.49,197.239,6.39319
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,8,1,128,128,3.85459e+06,113254,621.698,74.0687,0.405085,15329.3,738.352,547.227,23.9684
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,4,1,128,128,3.55086e+06,113313,395.903,74.0302,0.258016,1792.1,63.4498,4680.88,161.068
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,2,1,128,128,3.54208e+06,113122,526.893,74.1552,0.347615,1765.8,50.4442,4750.6,133.936
2,"XOR-EC (GPU Cmp1)/iterations:10/real_time",,10,1048576,8192,1,1,128,128,3.54961e+06,113568,1168.91,73.864,0.748118,1867.8,301.26,4491.17,533.19
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,7.48089e+08,7.8549e+06,12438.6,136.697,0.216019,1.52069e+06,3621.62,706.086,1.67395
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,2.20822e+08,3.75725e+06,6069.07,142.889,0.230693,772038,1348.96,695.395,1.21547
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,1.10343e+08,1.89892e+06,5065.39,141.362,0.377056,398431,1502.39,673.731,2.54301
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,5.06799e+07,960026,4554.93,139.806,0.663686,206550,1425.59,649.809,4.47363
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.53164e+07,489404,1925.7,137.124,0.54064,111296,1117.32,602.975,5.97905
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.28978e+07,215347,673.133,155.815,0.487227,44476.6,681.17,754.429,11.562
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,6.75225e+06,116370,1328.43,144.172,1.61542,30088.9,1311.51,557.588,22.4687
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.51316e+06,66756,451.791,125.661,0.852391,21848.7,381.738,383.941,6.69332
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,1.91622e+06,41860.9,445.813,100.196,1.06849,18654,457.016,224.847,5.63225
0,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.0999e+06,28991.4,549.075,72.337,1.33146,16489.8,512.241,127.179,3.94939
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,1,128,128,3.4909e+06,67301.8,1253.16,124.642,2.27495,1683.1,71.9019,4984.02,209.007
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,3.49231e+06,66636.2,1266.19,125.887,2.30264,1990.4,1190.09,4214.53,1156.07
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,3.49714e+06,66544.8,615.735,126.06,1.15918,1586.8,40.7125,5286.49,133.304
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,3.51612e+06,66144,325.43,126.823,0.624667,22164.4,522.912,378.472,9.00588
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,3.51695e+06,66679,603.766,125.806,1.13182,22015.2,308.584,381.037,5.29732
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.51687e+06,66555.9,584.546,126.039,1.1053,22235.9,367.416,377.255,6.22709
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.015625,128,2,3.51887e+06,66346.4,710.719,126.437,1.35181,23300.4,238.039,360.02,3.70371
1,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,0.0078125,128,1,3.51795e+06,67148.1,718.787,124.927,1.32717,25839.5,434.784,324.643,5.38612
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,128,1,128,128,4.14414e+06,66634.5,941.428,125.89,1.75484,356756,1666,23.5136,0.109497
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,64,1,128,128,3.81429e+06,66392.5,477.016,126.349,0.905429,177026,3995.62,47.3864,1.07165
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,32,1,128,128,3.66601e+06,66617.9,1049.69,125.921,1.93108,99036.1,776.937,84.7025,0.659797
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,16,1,128,128,3.58976e+06,66219.6,277.476,126.679,0.532278,53173.1,2051.14,157.76,5.6811
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,8,1,128,128,3.76258e+06,67077.9,2077.52,125.058,3.63745,26351.8,287.335,318.331,3.46891
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,4,1,128,128,3.52287e+06,66262.2,653.117,126.597,1.24347,21180.5,598.727,396.053,11.2081
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,2,1,128,128,3.5115e+06,66207.2,359.684,126.702,0.687839,15183.1,466.684,552.496,16.8522
2,"XOR-EC (GPU Cmp2)/iterations:10/real_time",,10,1048576,8192,1,1,128,128,3.52586e+06,66050,534.182,127.004,1.02965,1710.2,47.9741,4905.05,131.374
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,7.38767e+08,4.05509e+06,14213,264.789,0.920608,1.51888e+06,2799.84,706.931,1.29866
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,2.19048e+08,1.91905e+06,4758.72,279.759,0.693386,773042,1408.82,694.492,1.26354
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,1.093e+08,984843,2890.88,272.567,0.80129,397852,1124.21,674.711,1.90505
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,5.02046e+07,504567,5057.83,266.006,2.62885,206859,1171.95,648.838,3.66266
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.50485e+07,262104,1266.51,256.039,1.22865,111072,585.645,604.191,3.18845
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.28166e+07,118585,543.966,282.957,1.29746,44943.5,566.104,746.591,9.36771
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,6.70493e+06,68411.6,1458.83,245.239,5.12144,29788.5,333.933,563.211,6.3391
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.49557e+06,42798.4,544.665,196.003,2.46761,21993.4,304.751,381.415,5.255
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,1.91394e+06,29918.7,578.407,140.19,2.7313,18432.9,373.992,227.544,4.56188
0,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.09612e+06,23217.8,539.161,90.3252,2.07607,16399.2,561.976,127.881,4.3815
1,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,1048576,8192,1,1,128,128,3.48613e+06,42621.4,561.874,196.817,2.5853,15702.4,419.641,534.225,14.1829
1,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,3.49233e+06,42658,532.555,196.648,2.4575,21583.2,361.958,388.664,6.47678
1,"XOR-EC (GPU Cmp4)/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,3.47105e+06,42743.8,645.007,196.253,2.93751,1649.1,56.1614,5086.78,163.693
