plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"Wirehair/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,1.17445e+09,3.70245e+08,753418,2.90008,0.00589768,4.11291e+08,525324,2.61066,0.00332659
0,"Wirehair/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,5.20088e+08,1.52765e+08,839973,3.51436,0.019179,1.69131e+08,641694,3.17429,0.0120592
0,"Wirehair/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,2.36623e+08,6.32284e+07,118976,4.24549,0.00798254,7.26086e+07,197116,3.69702,0.0100204
0,"Wirehair/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,1.11163e+08,2.79724e+07,288895,4.79823,0.0507577,3.34669e+07,79304.2,4.01046,0.0095285
0,"Wirehair/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,5.45079e+07,1.27893e+07,82849.4,5.24726,0.0338864,1.59163e+07,83360,4.21636,0.0219788
0,"Wirehair/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,2.11157e+07,5.01728e+06,512528,6.68777,0.547046,5.16035e+06,778080,6.50235,0.720929
0,"Wirehair/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,8.92151e+06,1.85374e+06,18933.1,9.05049,0.0901658,1.86629e+06,22201.6,8.9896,0.103981
0,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,4.26257e+06,832628,2001.25,10.0749,0.0242098,844331,2217.77,9.93521,0.0261306
0,"Wirehair/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,2.09096e+06,402264,2274.01,10.4268,0.0590271,401789,2943.68,10.4391,0.0760413
0,"Wirehair/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.06644e+06,218978,2408.56,9.57701,0.104492,208401,1280.97,10.0631,0.0613788
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,1,128,4,3.58329e+06,830703,2579.85,10.0982,0.0313141,171818,1164.34,48.8226,0.328343
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.5,128,4,3.58415e+06,829935,2227.3,10.1076,0.0271104,171900,1164.32,48.7993,0.327476
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.25,128,4,3.58406e+06,830412,2317.66,10.1017,0.028078,171642,934.343,48.8728,0.262663
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.125,128,4,3.58154e+06,829404,1726.22,10.114,0.0210917,171540,1131.39,48.9016,0.319595
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,4,4.28603e+06,832293,1419.06,10.0789,0.0172266,852483,2209.71,9.84021,0.0255399
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,4.25833e+06,832670,1947.59,10.0743,0.0235493,844852,1634.59,9.92908,0.0191734
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.015625,128,4,4.26618e+06,832482,1563.15,10.0766,0.0189355,851840,1680.28,9.84763,0.0194462
1,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,0.0078125,128,4,4.26707e+06,833045,3580.22,10.0698,0.0431563,852956,2287.64,9.83475,0.0263805
0,"Wirehair/iterations:10/real_time",Corruption Detected,10,0,0,0,4.79244e-322,0,0,0,4.79244e-322,4.79244e-322,4.79244e-322,4.79244e-322,4.79244e-322,4.79244e-322,4.79244e-322,4.79244e-322
0,"Wirehair/iterations:10/real_time",Corruption Detected,10,0,0,0,1.63042e-322,0,0,0,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322
0,"Wirehair/iterations:10/real_time",Corruption Detected,10,0,0,0,1.63042e-322,0,0,0,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322
0,"Wirehair/iterations:10/real_time",Corruption Detected,10,0,0,0,1.63042e-322,0,0,0,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322,1.63042e-322
2,"Wirehair/iterations:10/real_time",,10,1048576,8192,8,1,128,4,4.26191e+06,833743,2051.17,10.0614,0.0248609,844244,2371.84,9.93623,0.027953
2,"Wirehair/iterations:10/real_time",,10,1048576,8192,4,1,128,4,4.26819e+06,832969,1680.69,10.0707,0.0202993,851518,2426.72,9.85136,0.0280921
2,"Wirehair/iterations:10/real_time",,10,1048576,8192,2,1,128,4,4.26457e+06,832196,1623.2,10.0801,0.0196771,851007,1063.35,9.85727,0.0123099
2,"Wirehair/iterations:10/real_time",,10,1048576,8192,1,1,128,4,4.28836e+06,832864,2610.24,10.072,0.0314848,851183,2354.17,9.85523,0.0271487
