plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC, AVX2/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,3.76107e+08,1.75545e+07,99203.9,61.1661,0.341034,4.35002e+06,16502.3,246.836,0.941173
0,"XOR-EC, AVX2/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,1.86072e+08,8.03658e+06,11772,66.8034,0.0979595,1.60259e+06,12227.3,335.002,2.54691
0,"XOR-EC, AVX2/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,9.16444e+07,3.60591e+06,12418.3,74.4431,0.256541,643034,7251.1,417.451,4.69382
0,"XOR-EC, AVX2/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,4.28433e+07,1.03508e+06,46526.7,129.67,5.48965,202617,7565.5,662.42,23.8632
0,"XOR-EC, AVX2/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.10636e+07,425330,5838.87,157.781,2.14647,98734.6,1014.29,679.689,6.96465
0,"XOR-EC, AVX2/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.05268e+07,200913,1385.3,167.01,1.15341,50545,1098.07,663.853,13.7269
0,"XOR-EC, AVX2/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,5.25547e+06,102858,1941.66,163.11,3.1435,17752.8,107.244,945.046,5.67063
0,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,2.61598e+06,45490.5,581.744,184.404,2.33264,6718.5,40.2223,1248.58,7.43122
0,"XOR-EC, AVX2/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,1.30628e+06,21050.1,5179.35,199.253,56.1249,3259.7,65.8248,1286.71,24.8033
0,"XOR-EC, AVX2/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,652496,7365.9,12.6179,284.711,0.488288,1823.5,59.2757,1150.07,34.7788
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,1,128,128,2.66847e+06,65869.9,664.863,127.351,1.27259,931.3,62.0968,9007.42,523.682
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,2.68392e+06,66273,1227.51,126.577,2.30529,1022.9,44.613,8200.81,345.175
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,2.62792e+06,54526.2,523.409,153.845,1.47588,1407.6,60.6231,5959.51,238.824
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,2.61774e+06,48773.6,815.278,171.991,2.92013,2268.5,63.957,3697.87,99.8344
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,2.61471e+06,46842.2,669.939,179.082,2.53987,3760.3,48.3943,2230.83,28.447
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,2.61599e+06,46131.6,567.523,181.841,2.24315,6725.5,71.7019,1247.28,13.0287
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.015625,128,2,2.61793e+06,41853.9,461.918,200.426,2.20044,13268.5,97.2537,632.22,4.586
1,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,1,0.0078125,128,1,2.63342e+06,42187.9,1446,198.839,6.66117,27957.8,136.172,300.045,1.46185
2,"XOR-EC, AVX2/iterations:10/real_time",,10,1048576,8192,128,1,128,128,2.73022e+06,65846.6,1013.28,127.396,1.91488,27790.5,1115.18,301.852,11.4844
