plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,3.66296e+08,1.95294e+07,883711,54.9807,2.52583,4.66534e+06,13089,230.153,0.645971
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,3.63086e+08,1.7195e+07,18358,62.4449,0.0666344,4.27538e+06,13163.7,251.145,0.773007
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,1.80188e+08,8.60464e+06,15302.5,62.3932,0.110875,1.81413e+06,12705.7,295.938,2.07486
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,1.79259e+08,8.02391e+06,14749,66.9089,0.122851,1.57021e+06,7122.28,341.91,1.55208
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,8.86034e+07,3.75429e+06,17592.5,71.5009,0.334799,740239,11359.1,362.634,5.42747
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,8.81623e+07,3.53897e+06,17003.6,75.8514,0.361031,610214,4113.28,439.904,2.9529
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,4.09556e+07,1.09857e+06,81384,122.175,7.69177,234861,17428.8,571.477,37.6018
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,4.03911e+07,939576,4552.05,142.849,0.691345,198257,2594.34,676.99,8.88481
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.0168e+07,460603,11830.3,145.698,3.66007,117740,1221.1,569.975,5.8436
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.00852e+07,398074,7304.99,168.584,3.06615,99616.7,1262.26,673.671,8.50697
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.00881e+07,225609,2418.49,148.728,1.59377,59009.4,239.845,568.629,2.31484
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.00576e+07,200717,1464.5,167.173,1.21575,51439.7,926.96,652.306,11.2693
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,5.07307e+06,126473,30205.4,132.654,21.8782,23761.7,1782.23,706.061,45.0122
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,5.06051e+06,101566,1444.88,165.185,2.31784,18468.3,154.995,908.433,7.61828
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,2.53528e+06,51524,4413.66,162.81,11.7406,10145.5,195.418,826.83,15.6673
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,2.5216e+06,41062.5,890.15,204.289,4.41816,6470.5,85.0141,1296.44,16.8241
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,1.27495e+06,20410.6,1987.23,205.496,19.6348,4725.9,74.5139,887.514,13.513
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,1.27853e+06,18619,6228.5,225.27,95.3698,3022.8,18.183,1387.56,8.26057
0,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,656210,9968.6,597.779,210.376,10.9921,2553.7,148.059,821.221,41.8039
0,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,641133,5971.7,16.8526,351.182,0.990403,1657.2,14.3975,1265.48,10.8793
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,1,128,128,2.53589e+06,54800,1563.39,153.077,4.14679,1044.4,41.5216,8031.99,324.258
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,1,128,128,2.54395e+06,54376,1565.97,154.27,4.24108,1032,43.6908,8128.5,353.503
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,2.54708e+06,76558.5,17160.7,109.571,16.1775,917.9,52.488,9138.91,496.804
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,2.54371e+06,70489.5,428.549,119.005,0.719884,760.7,30.6922,11027.5,431.538
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,2.53094e+06,62126.2,1216.58,135.025,2.60735,371.1,25.4098,22604.7,1504.66
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,2.52789e+06,56705.7,878.483,147.932,2.25264,369.3,17.2887,22714.9,1048.76
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,2.53029e+06,58289.5,1580.51,143.913,3.83027,2786.2,203.728,3010.77,210.323
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,2.51811e+06,47601.9,992.94,176.224,3.58417,1825.9,32.3881,4594.23,80.8512
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,2.52902e+06,55622.3,563.907,150.814,1.51144,5519.8,60.7249,1519.73,16.6717
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,2.51741e+06,45348.9,1228.58,184.979,5.02809,3663.5,53.2963,2289.78,33.1195
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,2.53093e+06,49737.4,310.899,168.658,1.04497,10092.2,70.9598,831.197,5.83843
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,2.51741e+06,41522.6,1250.49,202.025,6.08305,6476.7,77.53,1295.2,15.3591
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.015625,128,2,2.53057e+06,41869.4,1135.42,200.352,5.27849,19826.6,988.799,423.099,18.8289
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.015625,128,2,2.5166e+06,36336.3,1231.31,230.86,7.92127,12226.9,99.2678,686.078,5.57084
1,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,1,0.0078125,128,1,2.54801e+06,40645.4,1307.98,206.385,6.43758,37431.4,875.91,224.106,4.98
1,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,1,0.0078125,128,1,2.52633e+06,34735.9,1080.57,241.497,7.59198,23137.7,76.9127,362.552,1.20273
2,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,128,1,128,128,2.58447e+06,55526,1755.86,151.075,4.51327,28063.6,474.374,298.914,4.93707
2,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,128,1,128,128,2.59421e+06,55171.3,1796.39,152.047,4.78886,27908.6,1086.02,300.574,10.7624
2,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,64,1,128,128,2.55446e+06,54543.8,1018.72,153.796,2.86502,15044.9,820.268,557.572,27.5703
2,"XOR-EC (CPU), AVX2/iterations:10/real_time",,10,1048576,8192,64,1,128,128,2.55265e+06,54283.3,1063,154.534,2.92008,14716.4,88.6757,570.018,3.44153
2,"XOR-EC (CPU), AVX/iterations:10/real_time",,10,1048576,8192,32,1,128,128,2.53868e+06,54738.3,1097.4,153.249,2.99699,8471,951.202,990.274,89.3613
