name,xorec_version,num_iterations,block_size_B,num_cycles,num_instructions
"Theoretical XOR-EC (AVX2)",2,3739279,1048576,523.308,1542.03
"Theoretical XOR-EC (AVX)",1,1884657,1048576,1038.89,3078.11
"Theoretical XOR-EC (SCALAR)",0,3220,1048576,601280,319503
"Theoretical XOR-EC (AVX2)",2,7331059,524288,267.036,774.007
"Theoretical XOR-EC (AVX)",1,3716322,524288,526.481,1542.06
"Theoretical XOR-EC (SCALAR)",0,16349,524288,117850,159758
"Theoretical XOR-EC (AVX2)",2,14095807,262144,138.943,390.002
"Theoretical XOR-EC (AVX)",1,7242359,262144,270.208,774.007
"Theoretical XOR-EC (SCALAR)",0,32811,262144,58813.2,79886.3
"Theoretical XOR-EC (AVX2)",2,26135620,131072,74.8709,198.001
"Theoretical XOR-EC (AVX)",1,13786298,131072,142.108,390.004
"Theoretical XOR-EC (SCALAR)",0,66580,131072,29798.6,39950.3
"Theoretical XOR-EC (AVX2)",2,58302005,65536,33.6102,102
"Theoretical XOR-EC (AVX)",1,25102204,65536,78.059,198.001
"Theoretical XOR-EC (SCALAR)",0,133078,65536,14803.5,19982.3
"Theoretical XOR-EC (AVX2)",2,111455205,32768,17.6132,54
"Theoretical XOR-EC (AVX)",1,39040857,32768,50.145,102
"Theoretical XOR-EC (SCALAR)",0,272883,32768,7160.74,9998.25
"Theoretical XOR-EC (AVX2)",2,205516330,16384,9.52929,30
"Theoretical XOR-EC (AVX)",1,97646834,16384,20.1246,54.0001
"Theoretical XOR-EC (SCALAR)",0,665430,16384,2936.47,5006.25
"Theoretical XOR-EC (AVX2)",2,355115355,8192,5.5179,18
"Theoretical XOR-EC (AVX)",1,170256721,8192,11.5079,30
"Theoretical XOR-EC (SCALAR)",0,1347558,8192,1455.6,2510.25
"Theoretical XOR-EC (AVX2)",2,355999125,4096,5.50244,12
"Theoretical XOR-EC (AVX)",1,315271047,4096,6.21118,18
"Theoretical XOR-EC (SCALAR)",0,2701947,4096,725.25,1262.25
"Theoretical XOR-EC (AVX2)",2,978166554,2048,2.0021,9
"Theoretical XOR-EC (AVX)",1,489001702,2048,4.00253,12
"Theoretical XOR-EC (SCALAR)",0,6412859,2048,305.714,638.25
