plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC, AVX2/iterations:100/real_time",,100,134217728,1048576,1,0.03125,128,4,3.75354e+08,1.75587e+07,48109.2,61.1514,0.165849,4.369e+06,9384.96,245.764,0.528074
0,"XOR-EC, AVX2/iterations:100/real_time",,100,67108864,524288,1,0.03125,128,4,1.86316e+08,8.35884e+06,16367.1,64.2279,0.125745,1.60593e+06,20061.7,334.304,4.1684
0,"XOR-EC, AVX2/iterations:100/real_time",,100,33554432,262144,1,0.03125,128,4,9.1464e+07,3.62054e+06,12965.2,74.1425,0.264818,619248,9017.38,433.486,6.3002
0,"XOR-EC, AVX2/iterations:100/real_time",,100,16777216,131072,1,0.03125,128,4,4.2305e+07,954327,14593.9,140.641,1.94746,202054,4168.88,664.267,13.1976
0,"XOR-EC, AVX2/iterations:100/real_time",,100,8388608,65536,1,0.03125,128,4,2.10955e+07,455187,19967.6,147.431,4.75691,101713,1689.51,659.785,10.9786
0,"XOR-EC, AVX2/iterations:100/real_time",,100,4194304,32768,1,0.03125,128,4,1.05281e+07,201447,2663.48,166.567,2.21037,52086.5,1028.34,644.206,12.4282
0,"XOR-EC, AVX2/iterations:100/real_time",,100,2097152,16384,1,0.03125,128,4,5.26308e+06,110996,1589.91,151.151,2.16336,22393.5,647.071,749.199,18.8457
0,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.03125,128,4,2.61603e+06,47018.4,1069.18,178.411,3.80907,7853.09,442.013,1068.19,43.6565
0,"XOR-EC, AVX2/iterations:100/real_time",,100,524288,4096,1,0.03125,128,4,1.30504e+06,19239.6,5250.92,218.004,67.5706,3983.8,448.672,1052.84,67.739
0,"XOR-EC, AVX2/iterations:100/real_time",,100,262144,2048,1,0.03125,128,4,650521,6915.1,123.407,303.271,4.64952,2188.29,267.953,958.352,56.67
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,1,128,128,2.78833e+06,182737,25545.9,45.9055,6.7774,1081.75,21.095,7754.66,149.767
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.5,128,64,2.70658e+06,128286,10946,65.39,5.41598,1038.05,22.8806,8081.12,176.46
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.25,128,32,2.65988e+06,86295,4352.74,97.2085,4.82403,1356.95,24.388,6181.96,104.793
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.125,128,16,2.62597e+06,64677.7,2248.04,129.699,4.46253,2256.04,19.2359,3718.29,31.4199
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.0625,128,8,2.61012e+06,52439.1,1767.11,159.969,5.35088,4341.55,39.2033,1932.17,17.1085
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.03125,128,4,2.607e+06,47202.5,1338.74,177.715,4.7245,7798.15,315.907,1075.72,31.412
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.015625,128,2,2.60793e+06,40236.2,1392.68,208.484,6.69368,14738.1,338.011,569.18,10.7228
1,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,0.0078125,128,1,2.62859e+06,38476.2,1269.72,218.021,6.7572,29002.6,685.887,289.236,6.18323
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,128,1,128,128,2.86661e+06,201531,13573.1,41.6244,3.63139,25586.3,693.192,327.855,8.28325
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,64,1,128,128,2.83683e+06,203166,10513,41.2894,2.81041,13232.9,198.495,633.92,9.20287
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,32,1,128,128,2.81051e+06,191895,23635.6,43.7145,6.18007,7320.61,168.25,1145.89,25.1474
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,16,1,128,128,2.81601e+06,203733,8650.78,41.1745,2.26977,4379.38,317.343,1915.48,87.3947
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,8,1,128,128,2.79908e+06,191564,22775,43.7901,6.02725,3315.65,71.1377,2530,53.0658
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,4,1,128,128,2.75172e+06,157102,11490.3,53.396,3.04271,2065.45,48.9789,4061.39,93.6451
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,2,1,128,128,2.77406e+06,178337,25724.6,47.0379,6.81032,1057.98,26.6723,7928.89,189.07
2,"XOR-EC, AVX2/iterations:100/real_time",,100,1048576,8192,1,1,128,128,2.7936e+06,189847,23958.6,44.1861,6.3707,577.96,18.2363,14514.2,439.402
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,134217728,1048576,1,0.03125,128,4,4.70693e+08,2.78947e+07,21292.8,38.4927,0.0293713,1.51568e+07,62008.1,70.8424,0.289956
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,134217728,1048576,1,0.03125,128,4,4.68247e+08,4.1468e+07,204185,25.8932,0.128046,1.11373e+07,41119.5,96.4092,0.355572
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,67108864,524288,1,0.03125,128,4,2.18918e+08,1.37528e+07,18024.8,39.0373,0.0511392,7.24564e+06,12934.1,74.0957,0.132203
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,67108864,524288,1,0.03125,128,4,2.34121e+08,2.01888e+07,34502.2,26.5925,0.0454285,5.99832e+06,41161.5,89.5036,0.614407
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,33554432,262144,1,0.03125,128,4,1.08001e+08,6.44992e+06,48684.6,41.6184,0.295936,3.48567e+06,7037.07,77.0113,0.155385
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,33554432,262144,1,0.03125,128,4,1.15835e+08,9.49907e+06,21799.2,28.2591,0.0647321,3.44656e+06,16230.1,77.8851,0.368468
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,16777216,131072,1,0.03125,128,4,5.16467e+07,2.26444e+06,16649.8,59.2719,0.418139,1.65026e+06,4544.39,81.3312,0.222839
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,16777216,131072,1,0.03125,128,4,5.62894e+07,4.09693e+06,14843.1,32.7606,0.118117,1.97909e+06,10322.1,67.8179,0.353085
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,8388608,65536,1,0.03125,128,4,2.60053e+07,1.15354e+06,6577.07,58.1765,0.330649,882496,4933.06,76.0444,0.410513
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,8388608,65536,1,0.03125,128,4,2.8138e+07,1.96154e+06,7952.86,34.2123,0.13841,983037,5326.72,68.2668,0.369206
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,4194304,32768,1,0.03125,128,4,1.32675e+07,629258,3928.37,53.3238,0.33182,503896,2233.13,66.59,0.293464
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,4194304,32768,1,0.03125,128,4,1.43761e+07,973851,5291.54,34.4554,0.186668,905172,5360.94,37.0697,0.216866
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,2097152,16384,1,0.03125,128,4,6.89597e+06,368222,2401.36,45.5628,0.294417,315598,2003.91,53.16,0.332075
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,2097152,16384,1,0.03125,128,4,7.15095e+06,483755,3162.63,34.6812,0.225627,437580,2678.5,38.3409,0.232784
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.03125,128,4,3.6526e+06,190327,1732.26,44.0748,0.395985,170682,1958.72,49.1476,0.541986
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.03125,128,4,3.82966e+06,269217,2700.06,31.1593,0.306459,254785,1372.6,32.9243,0.175721
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,524288,4096,1,0.03125,128,4,2.01288e+06,100950,1838.47,41.5482,0.693895,98129.4,1467.32,42.7426,0.616834
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,524288,4096,1,0.03125,128,4,2.13666e+06,155282,1343.16,27.0108,0.230705,160987,1934.49,26.0537,0.307598
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,262144,2048,1,0.03125,128,4,1.2134e+06,59533.9,1529.68,35.2262,0.84315,62101,1416.48,33.77,0.729968
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,262144,2048,1,0.03125,128,4,1.2785e+06,96034.4,1565.44,21.8375,0.343294,90283.9,1551.95,23.2284,0.38655
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,1,128,128,3.75623e+06,258799,1697.57,32.4136,0.210181,159554,1295.56,52.5754,0.416395
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,1,128,128,3.88341e+06,294535,2286.89,28.4809,0.218846,30567.4,643.728,274.43,5.43991
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.5,128,64,3.7142e+06,228643,2230.32,36.6887,0.34961,160908,2041.64,52.1329,0.632932
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.5,128,64,3.86924e+06,294489,2259.76,28.4853,0.215689,57688.3,1193.38,145.413,2.8598
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.25,128,32,3.67166e+06,204720,2728.12,40.9761,0.526127,161471,968.167,51.951,0.306878
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.25,128,32,3.87649e+06,280491,2783.21,29.9069,0.28758,110324,1544.28,76.0363,1.03044
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.125,128,16,3.66808e+06,195650,1617.49,42.8757,0.347341,162356,563.877,51.6681,0.178912
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.125,128,16,3.88942e+06,273976,2484.14,30.618,0.273274,215222,1652.54,38.9765,0.296709
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.0625,128,8,3.65689e+06,191614,1858.49,43.7787,0.416203,165336,1603.31,50.7367,0.481605
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.0625,128,8,3.82669e+06,270842,2549.88,30.9723,0.284964,251600,2398.62,33.341,0.310472
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.03125,128,4,3.65294e+06,190120,1673.89,44.1227,0.382073,170199,1173.62,49.287,0.334748
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.03125,128,4,3.82742e+06,269082,3090.85,31.1749,0.342529,255427,2408.55,32.8415,0.303947
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.015625,128,2,3.65405e+06,183264,1557.05,45.7733,0.383311,180472,1826.4,46.4814,0.458117
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.015625,128,2,3.8302e+06,261870,2077.81,32.0335,0.251085,263844,2967.67,31.7938,0.33858
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,1,0.0078125,128,1,3.66804e+06,181781,617.562,46.1468,0.156079,197742,2548.87,42.4219,0.542645
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,1,0.0078125,128,1,3.84221e+06,261114,2295.49,32.1262,0.278835,279338,2059.14,30.0303,0.218572
2,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,128,1,128,128,4.67829e+06,259043,1460.66,32.3831,0.180592,512874,4364.02,16.3561,0.139248
2,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,128,1,128,128,4.49873e+06,295993,3048.31,28.3406,0.284766,288105,2366.51,29.1165,0.237589
2,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,64,1,128,128,4.27323e+06,259286,1726.53,32.3528,0.21318,334209,3893.7,25.0999,0.287049
2,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,64,1,128,128,4.24247e+06,295765,2431.88,28.3624,0.231326,260516,3355.5,32.2,0.393006
2,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:100/real_time",,100,1048576,8192,32,1,128,128,4.11224e+06,259081,2129.2,32.3783,0.260682,245180,2442.18,34.2141,0.337359
2,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:100/real_time",,100,1048576,8192,32,1,128,128,4.17421e+06,294954,1998.05,28.4404,0.190758,265442,2930.08,31.6024,0.33986
