plot_id,name,err_msg,num_iterations,tot_data_size_B,block_size_B,num_lost_blocks,redundancy_ratio,num_data_blocks,num_parity_blocks,time_ns,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,7.61423e+08,2.52335e+07,80545.8,42.5523,0.134959,1.42623e+07,19294.9,75.2855,0.101902
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,134217728,1048576,1,0.03125,128,4,4.93993e+08,3.85037e+07,44899.4,27.8867,0.0325129,1.06443e+07,69162.9,100.875,0.663182
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,2.31805e+08,1.23723e+07,5367.15,43.3929,0.0188244,6.74306e+06,7736.38,79.6183,0.0912994
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,67108864,524288,1,0.03125,128,4,2.45944e+08,1.89726e+07,40288.1,28.2972,0.0600897,5.82592e+06,26674.6,92.1521,0.423926
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,1.14632e+08,5.89618e+06,5253.49,45.527,0.0405772,3.31248e+06,12793.7,81.0376,0.310806
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,33554432,262144,1,0.03125,128,4,1.22035e+08,9.15703e+06,18225.9,29.3147,0.0581561,3.37973e+06,5278.94,79.4252,0.123987
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,5.5974e+07,2.50118e+06,12541.4,53.6618,0.267333,1.66134e+06,5621.36,80.7887,0.272585
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,16777216,131072,1,0.03125,128,4,6.02301e+07,4.18101e+06,11349.2,32.1017,0.0869792,1.96689e+06,3859.33,68.2385,0.13388
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,2.7937e+07,1.15971e+06,3404.03,57.8669,0.169711,876801,3243.49,76.5383,0.281623
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,8388608,65536,1,0.03125,128,4,3.00094e+07,1.94748e+06,11606,34.4593,0.205603,978539,8811.79,68.5807,0.606729
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.42081e+07,624183,1606.42,53.7574,0.137949,498012,3015.34,67.3768,0.406695
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,4194304,32768,1,0.03125,128,4,1.52999e+07,968973,4277.55,34.6289,0.152928,892798,2113.53,37.5835,0.088952
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,7.37404e+06,367287,3028.35,45.6787,0.370564,308676,1189.71,54.3522,0.209066
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,2097152,16384,1,0.03125,128,4,7.61466e+06,481872,2068.46,34.8167,0.149314,426840,2187.69,39.3056,0.200478
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.90032e+06,191918,1364.08,43.7094,0.306465,168964,510.926,49.6473,0.149872
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,4.07967e+06,269828,1948.46,31.0887,0.223888,251386,2315.54,33.3695,0.304538
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,2.14419e+06,104007,617.175,40.3271,0.2389,97617.1,806.775,42.9669,0.351144
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,524288,4096,1,0.03125,128,4,2.27391e+06,158681,1481.98,26.4323,0.245148,158761,1487.82,26.419,0.250047
0,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.26776e+06,60929.4,1660.11,34.4194,0.890027,64080.7,1138.73,32.7267,0.568274
0,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,262144,2048,1,0.03125,128,4,1.33824e+06,96815.7,880.616,21.6613,0.196546,89685.5,438.315,23.3834,0.113854
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,1048576,8192,1,1,128,128,4.01562e+06,259174,1577.57,32.3667,0.194755,157135,751.065,53.3846,0.254346
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,1048576,8192,1,1,128,128,4.16996e+06,337592,5897.91,24.8484,0.417412,31128.5,706.8,269.483,6.01396
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,3.87803e+06,230917,1593.65,36.3274,0.248939,144734,1806.24,57.9587,0.711773
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,1048576,8192,1,0.5,128,64,4.04102e+06,308782,1820.82,27.1668,0.15931,550.7,28.449,15232.6,823.271
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,3.91838e+06,204313,242.209,41.0577,0.0486789,159659,1891.55,52.5407,0.617996
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,1048576,8192,1,0.25,128,32,4.12687e+06,282898,1418.05,29.6524,0.147944,108565,1031.11,77.268,0.733264
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,3.82843e+06,196769,1336.49,42.6318,0.287583,144293,584.677,58.1361,0.234687
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,1048576,8192,1,0.125,128,16,3.99772e+06,273309,532.391,30.6928,0.0597344,489.5,34.3422,17137.1,1335.83
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,3.90467e+06,193305,1669.84,43.3958,0.37054,162951,1315.75,51.4792,0.410035
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,1048576,8192,1,0.0625,128,8,4.07163e+06,270184,997.195,31.0478,0.114179,245663,1900.17,34.1468,0.260933
1,"XOR-EC (Unified Ptr), AVX2,
Touched, prefetched/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,3.90229e+06,190882,1290.44,43.9465,0.294044,169888,2169.78,49.3774,0.620221
1,"XOR-EC (Unified Ptr), AVX2,
Touched, on demand/iterations:10/real_time",,10,1048576,8192,1,0.03125,128,4,4.08176e+06,269665,1884.49,31.1075,0.216798,250094,867.851,33.5418,0.116482
